INDIGO;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;Id;Fecha_orden;Tipo Prioridad;Categoria;Subcategoria;Producto;Cantidad;Ventas;Margen;Descuento;Utilidad;Precio_venta;Precio_costo;Costo_envio;Modo_envio;Nombre_cliente;Pais;Prov. / Depto.;Segmento;Empaque;Fecha_envio;Canal de Venta
;325;16/10/2010;1;3;Telefonos;Polyproplyene Holder;9; 218,85 ;47%;6%; 807,55 ; 1.855,69 ; 115,99 ; 4,23 ;1;Craig Yedwab;7;62;2;6;20/10/2010;1
;326;3/6/2011;3;1;Carpetas;DXL Angle-View Binders with Locking Rings, Black;34; 10,51 ;43%;3%; 142,92 ; 351,50 ; 5,99 ; 4,92 ;1;Michelle Tran;5;33;4;6;4/6/2011;2
;326;3/6/2011;3;1;Ligas;Advantus Push Pins, Aluminum Head;17; 9,52 ;39%;5%; 55,05 ; 157,19 ; 5,81 ; 3,37 ;1;Michelle Tran;5;42;4;5;4/6/2011;1
;353;30/12/2010;1;1;Boligrafos;Quartet Alpha White Chalk, 12/Pack;21; 4,02 ;45%;2%; 36,28 ; 83,69 ; 2,21 ; 1,00 ;1;Dean Percer;6;133;3;5;1/4/2011;3
;355;13/6/2009;1;3;Telefonos;Accessory4;16; 150,86 ;43%;0%; 1.037,91 ; 2.414,74 ; 85,99 ; 0,99 ;1;Henry MacAllister;4;4;1;5;18/6/2009;1
;358;19/9/2010;3;2;Librerias;O'Sullivan 2-Shelf Heavy-Duty Bookcases;33; 91,66 ;47%;2%; 1.361,16 ; 3.018,41 ; 48,58 ; 54,11 ;2;Ricardo Block;2;31;2;4;21/9/2010;4
;358;19/9/2010;3;3;Perifericos;80 Minute CD-R Spindle, 100/Pack - Staples;33; 69,26 ;43%;7%; 822,85 ; 2.127,68 ; 39,48 ; 1,99 ;1;Ricardo Block;2;32;2;2;19/9/2010;4
;359;18/12/2009;5;2;Mesas;Bevis 36 x 72 Conference Tables;30; 230,54 ;46%;8%; 2.628,12 ; 6.414,76 ; 124,49 ; 51,94 ;2;Cari Sayre;2;31;2;4;19/12/2009;2
;384;2/3/2012;1;2;Mesas;BPI Conference Tables;50; 324,56 ;55%;2%; 8.600,72 ; 15.983,42 ; 146,05 ; 80,20 ;2;Sonia Cooley;2;26;2;4;9/3/2012;3
;386;24/1/2011;3;1;Etiquetas;Avery 501;4; 7,10 ;48%;2%; 13,06 ; 28,32 ; 3,69 ; 0,50 ;1;Tracy Poddar;4;21;2;6;26/1/2011;2
;386;24/1/2011;3;1;Boligrafos;Avery Hi-Liter Pen Style Six-Color Fluorescent Set;4; 6,75 ;43%;9%; 9,19 ; 25,29 ; 3,85 ; 0,70 ;1;Tracy Poddar;4;19;2;5;26/1/2011;4
;388;15/12/2012;2;1;Accesorios;Harmony HEPA Quiet Air Purifiers;46; 25,43 ;54%;6%; 561,60 ; 1.106,76 ; 11,70 ; 6,96 ;1;Jennifer Halladay;4;23;3;3;18/12/2012;3
;416;26/9/2010;1;3;Telefonos;Polyproplyene Holder;20; 122,20 ;46%;1%; 1.099,83 ; 2.427,32 ; 65,99 ; 7,69 ;3;Stuart Calhoun;4;4;4;6;1/10/2010;4
;417;5/2/2009;5;3;Maquinas de oficina;Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers;39; 1.043,71 ;52%;7%; 18.317,08 ; 37.883,44 ; 500,98 ; 28,14 ;2;Robert Barroso;6;136;1;7;6/2/2009;2
;417;5/2/2009;5;1;Organizadores;Hot File 7-Pocket, Floor Stand;3; 313,11 ;43%;10%; 309,97 ; 865,37 ; 178,47 ; 19,99 ;1;Robert Barroso;6;135;1;6;7/2/2009;1
;420;30/10/2011;2;1;Papel;Xerox 190;8; 7,78 ;36%;9%; 16,81 ; 61,51 ; 4,98 ; 4,86 ;1;Tony Sayre;2;31;1;6;30/10/2011;3
;420;30/10/2011;2;1;Papel;Xerox 1950;6; 11,56 ;50%;3%; 32,60 ; 72,65 ; 5,78 ; 5,37 ;1;Tony Sayre;2;27;1;6;1/11/2011;1
;448;20/8/2011;5;3;Telefonos;iDENi80s;22; 122,20 ;46%;9%; 994,74 ; 2.466,51 ; 65,99 ; 19,99 ;1;Brad Thomas;6;136;2;6;22/8/2011;4
;449;19/7/2011;3;2;Mobiliario;Eldon Expressions Wood Desk Accessories, Oak;45; 14,19 ;48%;2%; 293,78 ; 631,09 ; 7,38 ; 5,21 ;1;Candace McMahon;4;22;2;6;21/7/2011;2
;450;4/3/2011;2;1;Boligrafos;Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop;29; 61,75 ;44%;5%; 698,39 ; 1.710,20 ; 34,58 ; 8,99 ;3;Matt Collins;2;24;4;2;5/3/2011;1
;450;4/3/2011;2;1;Organizadores;Hanging Personal Folder File;35; 33,40 ;53%;5%; 561,19 ; 1.121,94 ; 15,70 ; 11,25 ;1;Matt Collins;2;24;4;6;6/3/2011;3
;454;26/12/2011;1;1;Ligas;Staples Bulk Pack Metal Binder Clips;42; 10,86 ;44%;9%; 159,60 ; 416,78 ; 6,08 ; 1,82 ;1;Darrin Martin;4;14;1;5;28/12/2011;2
;481;7/10/2012;3;3;Telefonos;Polyproplyene Holder;44; 184,11 ;37%;1%; 2.916,32 ; 8.025,14 ; 115,99 ; 5,26 ;1;Art Foster;2;32;3;6;9/10/2012;1
;483;10/7/2011;3;3;Telefonos;R380;30; 343,84 ;43%;8%; 3.610,34 ; 9.494,03 ; 195,99 ; 3,99 ;1;Clay Rozendal;1;82;2;6;12/7/2011;2
;487;17/8/2012;4;1;Accesorios;Belkin 6 Outlet Metallic Surge Strip;19; 21,78 ;50%;7%; 177,94 ; 389,35 ; 10,89 ; 4,50 ;1;Valerie Dominguez;3;116;2;6;18/8/2012;3
;512;19/5/2011;1;2;Tapetes;Lifetime Advantage Folding Chairs, 4/Carton;6; 351,74 ;38%;6%; 675,34 ; 2.001,88 ; 218,08 ; 18,06 ;1;Sam Craven;3;118;3;1;19/5/2011;1
;512;19/5/2011;1;1;Organizadores;Decoflex Hanging Personal Folder File, Blue;48; 32,13 ;52%;1%; 786,42 ; 1.537,26 ; 15,42 ; 10,68 ;3;Sam Craven;3;107;3;6;21/5/2011;1
;513;30/4/2011;3;2;Tapetes;Global Leather & Oak Executive Chair, Burgundy;33; 274,35 ;45%;0%; 4.074,03 ; 9.113,60 ; 150,89 ; 60,20 ;2;Arthur Prichep;4;17;3;7;30/4/2011;3
;515;28/8/2010;2;1;Accesorios;Holmes HEPA Air Purifier;19; 43,56 ;50%;8%; 347,61 ; 767,37 ; 21,78 ; 5,94 ;1;Carlos Soltero;1;98;4;3;30/8/2010;3
;515;28/8/2010;2;2;Mobiliario;G.E. Longer-Life Indoor Recessed Floodlight Bulbs;21; 12,30 ;46%;5%; 105,87 ; 250,26 ; 6,64 ; 4,95 ;1;Carlos Soltero;1;82;4;2;30/8/2010;2
;548;20/9/2009;4;1;Etiquetas;Avery 481;41; 5,70 ;46%;4%; 98,22 ; 225,49 ; 3,08 ; 0,99 ;1;Sung Chung;3;108;3;6;21/9/2009;3
;548;20/9/2009;4;1;Papel;Xerox 1976;29; 13,79 ;53%;2%; 203,91 ; 397,73 ; 6,48 ; 5,90 ;1;Sung Chung;3;104;3;6;21/9/2009;2
;548;20/9/2009;4;3;Telefonos;V3682;26; 213,54 ;41%;4%; 2.054,28 ; 5.334,22 ; 125,99 ; 4,20 ;1;Sung Chung;3;106;3;6;22/9/2009;2
;549;12/7/2012;4;1;Papel;Xerox 1922;13; 7,90 ;37%;3%; 34,94 ; 107,12 ; 4,98 ; 7,44 ;1;Ken Brennan;4;1;4;6;13/7/2012;2
;549;12/7/2012;4;1;Papel;Xerox 1984;5; 11,17 ;42%;5%; 20,67 ; 61,81 ; 6,48 ; 8,74 ;1;Ken Brennan;4;8;4;6;13/7/2012;4
;549;12/7/2012;4;1;Organizadores;Eldon Base for stackable storage shelf, platinum;30; 73,47 ;47%;5%; 925,74 ; 2.128,94 ; 38,94 ; 35,00 ;3;Ken Brennan;4;4;4;1;12/7/2012;3
;610;1/8/2011;4;1;Papel;Xerox 195;38; 11,13 ;40%;2%; 160,77 ; 420,02 ; 6,68 ; 5,41 ;3;Joe Elijah;3;108;3;6;3/8/2011;2
;611;26/1/2010;4;1;Organizadores;Portfile Personal File Boxes;47; 27,23 ;35%;4%; 396,75 ; 1.238,12 ; 17,70 ; 9,47 ;1;Arthur Prichep;4;23;3;6;28/1/2010;2
;612;20/10/2012;5;1;Papel;Xerox 1928;50; 10,15 ;48%;10%; 192,92 ; 463,18 ; 5,28 ; 6,26 ;1;Sheri Gordon;3;115;2;6;22/10/2012;4
;612;20/10/2012;5;3;Telefonos;Polyproplyene Holder;43; 115,77 ;43%;1%; 2.090,84 ; 4.930,91 ; 65,99 ; 2,50 ;1;Sheri Gordon;3;105;2;6;22/10/2012;4
;613;17/6/2011;3;1;Carpetas;Angle-D Binders with Locking Rings, Label Holders;12; 12,81 ;43%;3%; 61,47 ; 156,79 ; 7,30 ; 7,72 ;1;Carl Jackson;1;86;2;6;17/6/2011;3
;613;17/6/2011;3;1;Organizadores;SAFCO Mobile Desk Side File, Wire Frame;22; 76,36 ;44%;9%; 587,95 ; 1.534,89 ; 42,76 ; 6,22 ;1;Carl Jackson;1;88;2;6;18/6/2011;1
;614;30/11/2012;3;2;Mobiliario;Nu-Dell Leatherette Frames;41; 22,76 ;37%;0%; 345,30 ; 938,24 ; 14,34 ; 5,00 ;1;Dave Hallsten;5;37;2;2;2/12/2012;1
;614;30/11/2012;3;2;Mesas;Balt Split Level Computer Training Table;24; 231,25 ;40%;7%; 1.831,50 ; 5.213,92 ; 138,75 ; 52,42 ;2;Dave Hallsten;5;46;2;4;1/12/2012;1
;640;22/1/2010;3;2;Librerias;O'Sullivan Living Dimensions 2-Shelf Bookcases;39; 205,05 ;41%;2%; 3.118,82 ; 7.895,68 ; 120,98 ; 58,64 ;2;Tamara Chand;4;22;4;4;23/1/2010;3
;640;22/1/2010;3;1;Papel;Xerox 1939;24; 33,28 ;43%;1%; 335,47 ; 800,29 ; 18,97 ; 9,54 ;1;Tamara Chand;4;5;4;6;23/1/2010;4
;643;24/3/2011;3;1;Organizadores;SAFCO Commercial Wire Shelving, Black;21; 276,28 ;50%;7%; 2.494,81 ; 5.430,75 ; 138,14 ; 35,00 ;3;Monica Federle;1;86;2;1;25/3/2011;1
;644;30/4/2012;4;2;Tapetes;Hon 4070 Series Pagoda Round Back Stacking Chairs;5; 641,96 ;50%;1%; 1.572,80 ; 3.236,65 ; 320,98 ; 58,95 ;2;Bill Eplett;5;45;2;7;1/5/2012;1
;645;2/12/2009;3;1;Carpetas;GBC Binding covers;42; 25,90 ;50%;5%; 489,51 ; 1.038,39 ; 12,95 ; 4,98 ;1;Harold Engle;7;64;4;6;4/12/2009;3
;646;21/11/2009;3;1;Tijeras;Acme Forged Steel Scissors with Black Enamel Handles;18; 17,57 ;47%;1%; 145,45 ; 317,01 ; 9,31 ; 3,98 ;1;Duane Huffman;4;11;1;2;22/11/2009;2
;678;26/2/2010;1;1;Papel;Xerox 198;44; 8,44 ;41%;7%; 126,27 ; 353,72 ; 4,98 ; 8,33 ;1;Dorothy Badders;1;100;3;6;26/2/2010;4
;706;8/9/2011;4;1;Boligrafos;Newell 326;42; 2,79 ;37%;5%; 37,55 ; 112,17 ; 1,76 ; 0,70 ;1;Sarah Jordon;7;62;4;5;10/9/2011;1
;710;1/1/2010;1;1;Carpetas;Avery Poly Binder Pockets;42; 7,96 ;55%;1%; 180,43 ; 336,26 ; 3,58 ; 5,47 ;1;Susan MacKendrick;3;111;2;6;5/1/2010;3
;710;1/1/2010;1;2;Mobiliario;Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting;11; 84,33 ;51%;9%; 389,59 ; 852,77 ; 41,32 ; 8,66 ;1;Susan MacKendrick;3;111;2;3;3/1/2010;2
;710;1/1/2010;1;3;Maquinas de oficina;Panasonic KX-P1150 Dot Matrix Printer;29; 259,73 ;44%;2%; 3.163,54 ; 7.399,44 ; 145,45 ; 17,85 ;2;Susan MacKendrick;3;106;2;7;5/1/2010;3
;738;1/3/2010;2;1;Accesorios;Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection;7; 139,62 ;42%;4%; 371,39 ; 942,75 ; 80,98 ; 4,50 ;1;Caroline Jumper;5;36;2;6;3/3/2010;1
;738;1/3/2010;2;1;Papel;Xerox 23;31; 14,40 ;55%;8%; 209,81 ; 415,83 ; 6,48 ; 5,14 ;1;Caroline Jumper;5;38;2;6;2/3/2010;2
;740;15/7/2011;5;1;Etiquetas;Avery White Multi-Purpose Labels;6; 10,83 ;54%;9%; 29,23 ; 59,60 ; 4,98 ; 0,49 ;1;Thomas Boland;4;5;2;6;15/7/2011;4
;769;1/6/2010;5;3;Maquinas de oficina;Hewlett-Packard Deskjet 5550 Color Inkjet Printer;37; 210,89 ;45%;2%; 3.355,27 ; 7.703,04 ; 115,99 ; 56,14 ;2;Roy French;7;63;4;7;2/6/2010;3
;771;16/6/2011;4;1;Papel;Xerox 1949;18; 8,59 ;42%;8%; 52,55 ; 146,91 ; 4,98 ; 4,72 ;1;Darrin Van Huff;3;119;3;6;17/6/2011;3
;772;16/4/2010;3;1;Accesorios;Bionaire 99.97% HEPA Air Cleaner;35; 31,29 ;44%;8%; 394,20 ; 1.015,57 ; 17,52 ; 8,17 ;1;Pamela Stobb;5;45;4;3;18/4/2010;4
;772;16/4/2010;3;1;Sobres;#6 3/4 Gummed Flap White Envelopes;25; 15,47 ;36%;10%; 100,55 ; 349,44 ; 9,90 ; 1,39 ;1;Pamela Stobb;5;43;4;6;18/4/2010;2
;773;25/9/2010;5;3;Telefonos;Talkabout T8367;38; 115,77 ;43%;6%; 1.627,75 ; 4.144,36 ; 65,99 ; 8,99 ;1;Helen Abelman;7;65;3;6;26/9/2010;2
;774;3/12/2011;4;1;Accesorios;Hoover Portapower Portable Vacuum;17; 7,23 ;38%;3%; 42,99 ; 168,15 ; 4,48 ; 49,00 ;1;Sibella Parks;2;28;1;1;5/12/2011;4
;775;17/3/2011;4;1;Ligas;Bagged Rubber Bands;35; 2,80 ;55%;10%; 44,10 ; 88,90 ; 1,26 ; 0,70 ;1;Peter McVee;7;58;1;5;18/3/2011;3
;775;17/3/2011;4;1;Boligrafos;Dixon Prang Watercolor Pencils, 10-Color Set with Brush;8; 8,04 ;47%;10%; 23,79 ; 59,07 ; 4,26 ; 1,20 ;1;Peter McVee;7;67;1;5;19/3/2011;3
;801;17/2/2012;4;1;Boligrafos;Rogers Handheld Barrel Pencil Sharpener;20; 4,35 ;37%;3%; 29,57 ; 87,87 ; 2,74 ; 3,50 ;1;Thais Sissman;3;117;2;2;20/2/2012;3
;802;4/1/2011;4;1;Carpetas;Fellowes Binding Cases;33; 21,27 ;45%;8%; 259,74 ; 651,47 ; 11,70 ; 5,63 ;1;Kean Nguyen;4;21;2;6;6/1/2011;3
